Sector,Project name,Estimated Value,Procurement Strategy,Current Phase,Procurement Start Date (est.),Procurement End Date (est.),Construction Start Date (est.),Construction End Date (est.),Project Link,Source Lifecycle,Unnamed: 7
Transport,Thornton bridge duplication,$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Wagga Wagga Freight Bypass,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Werrington Arterial Stage 2,TBA,,,,,,,https://www.transport.nsw.gov.au/news-and-events/media-releases/3-million-to-start-planning-werrington-arterial-stage-2,In Planning,
Transport,Western Sydney Freight Line and Intermodal Terminal  - Stage 1 Full Business Case,$$$$$,,,,,,,https://www.transport.nsw.gov.au/corridors/wsfl,In Planning,
Transport,Woollahra Station Activation,$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/woollahra-station-activation,In Planning,
Transport,New Electric Bus Program - Tranche 2,$$$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Regional Corridors Upgrade Program – Newcastle to Dubbo,$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Regional Corridors Upgrade Program – Euston to Tocumwal,$$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Regional Corridors Upgrade Program – Muswellbrook to Armidale,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Mulgoa Road Upgrade Stage 5a & 5b,$$,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,M1 Pacific Motorway Upgrade between Wahroonga and Beresfield,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
Transport,Epping Bridge Project,$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/epping-bridge-project,In Planning,
Transport,Macquarie Park Precinct and Bus Interchange,$$,,,,,,,https://www.transport.nsw.gov.au/projects/current-projects/macquarie-park-precinct-and-bus-interchange,In Planning,
Transport,Sydney to Canberra Rail Corridor Upgrade,TBA,,,,,,,https://www.transport.nsw.gov.au/,In Planning,
